"","Region","Country"
"906","San Martino della Battaglia","Italy                                                                                                                                                 "
"907","San Rafael","Argentina                                                                                                                                             "
"908","Sancerre","France                                                                                                                                                "
"909","Sangiovese di Romagna","Italy                                                                                                                                                 "
"910","Sangiovese di Romagna Superiore","Italy                                                                                                                                                 "
"911","Sannio","Italy                                                                                                                                                 "
"912","Sant' Agata dei Goti","Italy                                                                                                                                                 "
"913","Santa Barbara","US                                                                                                                                                    "
"914","Santa Barbara County","US                                                                                                                                                    "
"915","Santa Barbara Monterey","US                                                                                                                                                    "
"916","Santa Clara County","US                                                                                                                                                    "
"917","Santa Clara Valley","US                                                                                                                                                    "
"918","Santa Cruz County","US                                                                                                                                                    "
"919","Santa Cruz Mountains","US                                                                                                                                                    "
"920","Santa Lucia Highlands","US                                                                                                                                                    "
"921","Santa Margarita Ranch","US                                                                                                                                                    "
"922","Santa Maria Valley","US                                                                                                                                                    "
"923","Santa Ynez Valley","US                                                                                                                                                    "
"924","Sant'Antimo","Italy                                                                                                                                                 "
"925","Santenay","France                                                                                                                                                "
"926","Sardinia","Italy                                                                                                                                                 "
"927","Sardon de Duero","Spain                                                                                                                                                 "
"928","Saumur","France                                                                                                                                                "
"929","Saumur Champigny","France                                                                                                                                                "
"930","Saussignac","France                                                                                                                                                "
"931","Sauternes","France                                                                                                                                                "
"932","Savennieres","France                                                                                                                                                "
"933","Savennieres Roche Aux Moines","France                                                                                                                                                "
"934","Savigny les Beaune","France                                                                                                                                                "
"935","Savoie","France                                                                                                                                                "
"936","Sebino","Italy                                                                                                                                                 "
"937","Seneca Lake","US                                                                                                                                                    "
"938","Sforzato di Valtellina","Italy                                                                                                                                                 "
"939","Shenandoah Valley","US                                                                                                                                                    "
"940","Shenandoah Valley CA","US                                                                                                                                                    "
"941","Short Hills Bench","Canada                                                                                                                                                "
"942","Sicilia","Italy                                                                                                                                                 "
"943","Sierra de Salamanca","Spain                                                                                                                                                 "
"944","Sierra Foothills","US                                                                                                                                                    "
"945","Sierra Pelona Valley","US                                                                                                                                                    "
"946","Similkameen Valley","Canada                                                                                                                                                "
"947","Siracusa","Italy                                                                                                                                                 "
"948","Snipes Mountain","US                                                                                                                                                    "
"949","Soave","Italy                                                                                                                                                 "
"950","Soave Classico","Italy                                                                                                                                                 "
"951","Soave Classico Superiore","Italy                                                                                                                                                 "
"952","Soave Colli Scaligeri","Italy                                                                                                                                                 "
"953","Soave Superiore","Italy                                                                                                                                                 "
"954","Solano County","US                                                                                                                                                    "
"955","Solano County Green Valley","US                                                                                                                                                    "
"956","Somontano","Spain                                                                                                                                                 "
"957","Sonoita","US                                                                                                                                                    "
"958","Sonoma","US                                                                                                                                                    "
"959","Sonoma Coast","US                                                                                                                                                    "
"960","Sonoma County","US                                                                                                                                                    "
"961","Sonoma County Lake County","US                                                                                                                                                    "
"962","Sonoma County Monterey County","US                                                                                                                                                    "
"963","Sonoma County Monterey County Napa County","US                                                                                                                                                    "
"964","Sonoma County Monterey County Santa Barbara County","US                                                                                                                                                    "
"965","Sonoma County Napa County","US                                                                                                                                                    "
"966","Sonoma County San Joaquin County","US                                                                                                                                                    "
"967","Sonoma County Santa Barbara County","US                                                                                                                                                    "
"968","Sonoma Mendocino","US                                                                                                                                                    "
"969","Sonoma Mountain","US                                                                                                                                                    "
"970","Sonoma Napa","US                                                                                                                                                    "
"971","Sonoma Napa Lake","US                                                                                                                                                    "
"972","Sonoma Napa Mendocino","US                                                                                                                                                    "
"973","Sonoma Napa Monterey","US                                                                                                                                                    "
"974","Sonoma Santa Barbara Mendocino","US                                                                                                                                                    "
"975","Sonoma Valley","US                                                                                                                                                    "
"976","South Coast","US                                                                                                                                                    "
"977","South Eastern Australia","Australia                                                                                                                                             "
"978","Southeastern New England","US                                                                                                                                                    "
"979","Southern Fleurieu","Australia                                                                                                                                             "
"980","Southern Flinders Ranges","Australia                                                                                                                                             "
"981","Southern Highlands","Australia                                                                                                                                             "
"982","Southern Oregon","US                                                                                                                                                    "
"983","Sovana","Italy                                                                                                                                                 "
"984","Spring Mountain District","US                                                                                                                                                    "
"985","Squinzano","Italy                                                                                                                                                 "
"986","St. David's Bench","Canada                                                                                                                                                "
"987","St. Helena","US                                                                                                                                                    "
"988","St. Romain","France                                                                                                                                                "
"989","Sta. Rita Hills","US                                                                                                                                                    "
"990","Stags Leap District","US                                                                                                                                                    "
"991","Strathbogie Ranges","Australia                                                                                                                                             "
"992","Strevi","Italy                                                                                                                                                 "
"993","Suisun Valley","US                                                                                                                                                    "
"994","Swan Creek","US                                                                                                                                                    "
"995","Swan Hill","Australia                                                                                                                                             "
"996","Taburno","Italy                                                                                                                                                 "
"997","Tarantino","Italy                                                                                                                                                 "
"998","Tarragona","Spain                                                                                                                                                 "
"999","Taurasi","Italy                                                                                                                                                 "
"1000","Tavel","France                                                                                                                                                "
"1001","Tehama County","US                                                                                                                                                    "
"1002","Temecula","US                                                                                                                                                    "
"1003","Temecula Valley","US                                                                                                                                                    "
"1004","Templeton Gap District","US                                                                                                                                                    "
"1005","Teroldego Rotaliano","Italy                                                                                                                                                 "
"1006","Terra Alta","Spain                                                                                                                                                 "
"1007","Terra degli Osci","Italy                                                                                                                                                 "
"1008","Terrasses du Larzac","France                                                                                                                                                "
"1009","Terrazze Retiche di Sondrio","Italy                                                                                                                                                 "
"1010","Terre del Volturno","Italy                                                                                                                                                 "
"1011","Terre di Chieti","Italy                                                                                                                                                 "
"1012","Terre di Franciacorta","Italy                                                                                                                                                 "
"1013","Terre Siciliane","Italy                                                                                                                                                 "
"1014","Texas High Plains","US                                                                                                                                                    "
"1015","Texoma","US                                                                                                                                                    "
"1016","The Hamptons Long Island","US                                                                                                                                                    "
"1017","Tierra de Castilla","Spain                                                                                                                                                 "
"1018","Tierra de Leon","Spain                                                                                                                                                 "
"1019","Tierra del Vinos de Zamora","Spain                                                                                                                                                 "
"1020","Toledo","Spain                                                                                                                                                 "
"1021","Torgiano","Italy                                                                                                                                                 "
"1022","Torgiano Rosso Riserva","Italy                                                                                                                                                 "
"1023","Toscana","Italy                                                                                                                                                 "
"1024","Touraine","France                                                                                                                                                "
"1025","Touraine Amboise","France                                                                                                                                                "
"1026","Trebbiano d'Abruzzo","Italy                                                                                                                                                 "
"1027","Trentino","Italy                                                                                                                                                 "
"1028","Trentino Superiore","Italy                                                                                                                                                 "
"1029","Trento","Italy                                                                                                                                                 "
"1030","Tulum Valley","Argentina                                                                                                                                             "
"1031","Tumbarumba","Australia                                                                                                                                             "
"1032","Tuolumne County","US                                                                                                                                                    "
"1033","Tupungato","Argentina                                                                                                                                             "
"1034","Ucles","Spain                                                                                                                                                 "
"1035","Uco Valley","Argentina                                                                                                                                             "
"1036","Umbria","Italy                                                                                                                                                 "
"1037","Umpqua Valley","US                                                                                                                                                    "
"1038","Utiel Requena","Spain                                                                                                                                                 "
"1039","Vacqueyras","France                                                                                                                                                "
"1040","Val de Loire","France                                                                                                                                                "
"1041","Val di Cornia Suvereto","Italy                                                                                                                                                 "
"1042","Val di Neto","Italy                                                                                                                                                 "
"1043","Valdadige","Italy                                                                                                                                                 "
"1044","Valdeorras","Spain                                                                                                                                                 "
"1045","Valdepenas","Spain                                                                                                                                                 "
"1046","Valdobbiadene Prosecco Superiore","Italy                                                                                                                                                 "
"1047","Valdobbiadene Superiore di Cartizze","Italy                                                                                                                                                 "
"1048","Valencia","Spain                                                                                                                                                 "
"1049","Valle d'Aosta","Italy                                                                                                                                                 "
"1050","Valle de Uco","Argentina                                                                                                                                             "
"1051","Vallee du Paradis","France                                                                                                                                                "
"1052","Valli di Porto Pino","Italy                                                                                                                                                 "
"1053","Valpolicella","Italy                                                                                                                                                 "
"1054","Valpolicella Classico","Italy                                                                                                                                                 "
"1055","Valpolicella Classico Superiore","Italy                                                                                                                                                 "
"1056","Valpolicella Classico Superiore Ripasso","Italy                                                                                                                                                 "
"1057","Valpolicella Ripasso","Italy                                                                                                                                                 "
"1058","Valpolicella Ripasso Classico","Italy                                                                                                                                                 "
"1059","Valpolicella Ripasso Valpantena","Italy                                                                                                                                                 "
"1060","Valpolicella Ripasso Valpantena Superiore","Italy                                                                                                                                                 "
"1061","Valpolicella Superiore","Italy                                                                                                                                                 "
"1062","Valpolicella Superiore Ripasso","Italy                                                                                                                                                 "
"1063","Valpolicella Valpantena","Italy                                                                                                                                                 "
"1064","Valpolicella Valpantena Superiore","Italy                                                                                                                                                 "
"1065","Valtellina","Italy                                                                                                                                                 "
"1066","Valtellina Superiore","Italy                                                                                                                                                 "
"1067","Valtenesi","Italy                                                                                                                                                 "
"1068","Veneto Orientale","Italy                                                                                                                                                 "
"1069","Venezia","Italy                                                                                                                                                 "
"1070","Venezia Giulia","Italy                                                                                                                                                 "
"1071","Venezie","Italy                                                                                                                                                 "
"1072","Ventoux","France                                                                                                                                                "
"1073","Ventura County","US                                                                                                                                                    "
"1074","Verdicchio dei Castelli di Jesi","Italy                                                                                                                                                 "
"1075","Verdicchio dei Castelli di Jesi Classico","Italy                                                                                                                                                 "
"1076","Verdicchio dei Castelli di Jesi Classico Superiore","Italy                                                                                                                                                 "
"1077","Verdicchio di Matelica","Italy                                                                                                                                                 "
"1078","Vermentino di Gallura","Italy                                                                                                                                                 "
"1079","Vermentino di Sardegna","Italy                                                                                                                                                 "
"1080","Vernaccia di San Gimignano","Italy                                                                                                                                                 "
"1081","Veronese","Italy                                                                                                                                                 "
"1082","Vesuvio","Italy                                                                                                                                                 "
"1083","Vi de la Terra Illes Balears","Spain                                                                                                                                                 "
"1084","Vi de la Terra Mallorca","Spain                                                                                                                                                 "
"1085","Vigneti delle Dolomiti","Italy                                                                                                                                                 "
"1086","Vin de France","France                                                                                                                                                "
"1087","Vin de Liqueur","France                                                                                                                                                "
"1088","Vin de Pays Cite de Carcassonne","France                                                                                                                                                "
"1089","Vin de Pays de France","France                                                                                                                                                "
"1090","Vin de Pays de la Haute Vallee du Gassac","France                                                                                                                                                "
"1091","Vin de Pays de la Mediterranee","France                                                                                                                                                "
"1092","Vin de Pays de l'Atlantique","France                                                                                                                                                "
"1093","Vin de Pays de L'Aude","France                                                                                                                                                "
"1094","Vin de Pays de L'Herault","France                                                                                                                                                "
"1095","Vin de Pays de l'Ile de Beaute","France                                                                                                                                                "
"1096","Vin de Pays de Montferrand","France                                                                                                                                                "
"1097","Vin de Pays de Vaucluse","France                                                                                                                                                "
"1098","Vin de Pays des Alpilles","France                                                                                                                                                "
"1099","Vin de Pays des Cevennes","France                                                                                                                                                "
"1100","Vin de Pays des Coteaux de Bessilles","France                                                                                                                                                "
"1101","Vin de Pays des Cotes Catalanes","France                                                                                                                                                "
"1102","Vin de Pays des Cotes de Gascogne","France                                                                                                                                                "
"1103","Vin de Pays des Maures","France                                                                                                                                                "
"1104","Vin de Pays des Portes de Mediterranee","France                                                                                                                                                "
"1105","Vin de Pays d'Oc","France                                                                                                                                                "
"1106","Vin de Pays du Comte Tolosan","France                                                                                                                                                "
"1107","Vin de Pays du Gard","France                                                                                                                                                "
"1108","Vin de Pays du Jardin de la France","France                                                                                                                                                "
"1109","Vin de Pays du Lot","France                                                                                                                                                "
"1110","Vin de Pays du Val de Cesse","France                                                                                                                                                "
"1111","Vin de Pays du Val de Loire","France                                                                                                                                                "
"1112","Vin de Pays Var","France                                                                                                                                                "
"1113","Vin de Savoie","France                                                                                                                                                "
"1114","Vin de Table Francais","France                                                                                                                                                "
"1115","Vin Doux Naturel Rasteau","France                                                                                                                                                "
"1116","Vin Mousseux","France                                                                                                                                                "
"1117","Vin Petillant","France                                                                                                                                                "
"1118","Vin Santo del Chianti","Italy                                                                                                                                                 "
"1119","Vin Santo del Chianti Classico","Italy                                                                                                                                                 "
"1120","Vin Santo del Chianti Rufina","Italy                                                                                                                                                 "
"1121","Vin Santo di Carmignano","Italy                                                                                                                                                 "
"1122","Vin Santo di Montepulciano","Italy                                                                                                                                                 "
"1123","Vino da Mesa de Toledo","Spain                                                                                                                                                 "
"1124","Vino da Tavola","Italy                                                                                                                                                 "
"1125","Vino de Calidad de Tierras de Leon","Spain                                                                                                                                                 "
"1126","Vino de Calidad de Valtiendas","Spain                                                                                                                                                 "
"1127","Vino de la Tierra Altiplano de Sierra Nevada","Spain                                                                                                                                                 "
"1128","Vino de la Tierra Contraviesa Alpujarra","Spain                                                                                                                                                 "
"1129","Vino de la Tierra de Cadiz","Spain                                                                                                                                                 "
"1130","Vino de la Tierra de Castello","Spain                                                                                                                                                 "
"1131","Vino de la Tierra de Castilla","Spain                                                                                                                                                 "
"1132","Vino de la Tierra de Castilla y Leon","Spain                                                                                                                                                 "
"1133","Vino de la Tierra de Zamora","Spain                                                                                                                                                 "
"1134","Vino de la Tierra del Bajo Aragon","Spain                                                                                                                                                 "
"1135","Vino de la Tierra Ribera del Gallego Cinco Villas","Spain                                                                                                                                                 "
"1136","Vino de Mesa","Spain                                                                                                                                                 "
"1137","Vino Nobile di Montepulciano","Italy                                                                                                                                                 "
"1138","Vino Spumante","Italy                                                                                                                                                 "
"1139","Vinos de Madrid","Spain                                                                                                                                                 "
"1140","Vire Clesse","France                                                                                                                                                "
"1141","Virginia's Eastern Shore","US                                                                                                                                                    "
"1142","Vista Flores","Argentina                                                                                                                                             "
"1143","Vittoria","Italy                                                                                                                                                 "
"1144","Vittoria Frappato","Italy                                                                                                                                                 "
"1145","Volnay","France                                                                                                                                                "
"1146","Vosne Romanee","France                                                                                                                                                "
"1147","Vougeot","France                                                                                                                                                "
"1148","Vouvray","France                                                                                                                                                "
"1149","Wahluke Slope","US                                                                                                                                                    "
"1150","Walla Walla Valley OR","US                                                                                                                                                    "
"1151","Walla Walla Valley WA","US                                                                                                                                                    "
"1152","Western Connecticut Highlands","US                                                                                                                                                    "
